content,new,sentiment
ISCO PRIME HA VUELTO https://t.co/eU8jAel5Rp,"['isco', 'prime', 'vuelto']",Positive
he venido a madrid solo a esto https://t.co/CKAhCDBccA,"['venido', 'madrid', 'solo']",Positive
"Tengan un feliz y agradable domingo. Hoy el día y el cielo están hermosos, como vosotros.","['feliz', 'agradable', 'domingo', 'hoy', 'cielo', 'estn', 'hermosos']",Positive
"Aprendamos a detenernos, a apagar el teléfono móvil para mirar a los ojos a las personas, a cultivar el silencio, a contemplar la naturaleza, a regenerarnos en el diálogo con Dios. #EvangeliodeHoy Mc 6,30-34","['aprendamos', 'detenernos', 'apagar', 'telfono', 'mvil', 'mirar', 'ojos', 'personas', 'cultivar', 'silencio', 'contemplar', 'naturaleza', 'regenerarnos', 'dilogo', 'dios', 'evangeliodehoy', 'mc']",Positive
Mi abuelo me ha pedido expresamente que suba esto para que veáis que es aliado 😭 https://t.co/adtHtM2dlt,"['abuelo', 'pedido', 'expresamente', 'suba', 'veis', 'aliado']",Positive
Buenos días! 😊😊😊,['buenos'],Positive
"Hace 3 días que se reveló un audio donde Florentino Pérez, uno de los mayores empresarios del país, aseguraba manejar a su antojo a García Ferreras, director de informativos de La Sexta. Ni una sola palabra sobre ello en los grandes medios de comunicación. La libertad de prensa.","['hace', 'revel', 'audio', 'florentino', 'prez', 'mayores', 'empresarios', 'aseguraba', 'manejar', 'antojo', 'garca', 'ferreras', 'director', 'informativos', 'sexta', 'sola', 'palabra', 'ello', 'grandes', 'medios', 'comunicacin', 'libertad', 'prensa']",Positive
estamos dejando que nos juzgue una generación cuyo pico del humor son chistes sobre lo mucho que odian su matrimonio,"['dejando', 'juzgue', 'generacin', 'cuyo', 'pico', 'humor', 'chistes', 'odian', 'matrimonio']",Negative
"""Es que las fotos victorianas eran todas muy serias""

Las fotos victorianas: https://t.co/UmM2hYWJxs","['fotos', 'victorianas', 'todas', 'fotos', 'victorianas', 'serias']",Positive
"sexualizaron a scaloni

bien, ya se estaban tardando mucho https://t.co/xJ49Y7Iul5","['sexualizaron', 'tardando', 'scaloni', 'bien']",Negative
"HOY ESTOY MUY TRISTE
MI NIETA ESTÁ ENTUBADA Y GRAVE
PODRIAN ELEVAR UNA ORACIÓN POR ELLA???
😢","['hoy', 'nieta', 'entubada', 'elevar', 'oracin', 'triste', 'grave', 'podrian']",Negative
