content,new,sentiment
Не хочу хвастаться но кажется я нашла самого душного человека в мире 😐 https://t.co/rTNB8LHrky,[],Positive
"Обожаю людей, с которыми меня сводит жизнь 

Бывший коллега женился. Сколько у него об этом сторис? 0
Он же нашёл цикаду. Сколько у него об этом сторис? ПЯТЬ.",[],Negative
ты так смешно шутишь) тяжёлое детство?,[],Negative
"Эстетика вакансий с минимальным/средним уровнем оплаты:

- Сотрудник должен владеть английским на уровне С7.
- Рабочий день начинается в 06:00 и заканчивается через неделю.
- Болеть нельзя, больничных нет, больных сразу убивают.
- Общение с клиентом на арамейском.
- Есть кулер😍",[],Negative
за каждой женщиной стоит сериал на россии 1 который она смотрела с бабушкой в детстве по телевизору,[],Positive
Я не ставлю на рисунки вотермарки мой способ защиты хитрее я просто не рисую настолько хорошо чтобы это захотели спиздить,[],Negative
Кредо сильной женщины https://t.co/QTHjYNXlBz,[],Positive
"Вчера смотрели «Незнайка на Луне» и мой новозеландец так взгрустнул, говорит: это какие-то слишком серьёзные вещи ты в детстве смотрела, я смотрел мультики про пердеж",[],Negative
"Мне иногда кажется, что мужчины из Европы и мужчины из России — это два разных вида https://t.co/fzlQC43DYh",[],Positive
А для вас тоже покупка за наличку это как бесплатно и вы считаете только деньги на карте ?,[],Negative
"Любимая ✨эстетика работы✨ детских психологов:

1. Родители приходят с запросом «С ребёнком проблемы, он перестал быть удобным».
2. На первом же сеансе выясняется, что проблема в родителях.",[],Negative
ССУКААААА к нам в музей сейчас пришел школьник лет десяти в маске анонимуса а когда он ее снял под ней оказалась медицинская маска с улыбкой тролльфейса ОН МОЙ КУМИР,[],Positive
"А как называется это чувство, когда ты сдал анализов на 10 тысяч рублей, а они все хорошие и ты вроде рад, а вроде лох?🤔",[],Negative
давайте признавайтесь у вас тоже был хуевый период жизни в седьмом классе да??,[],Negative
русская версия мема саса леле сэйл сэйл выглядит намного поэтичнее https://t.co/1isY6UHsSp,[],Positive
"Добрый день. Я использую переводчик, чтобы представить этого человека оригинально. Я хочу воспользоваться возможностью, чтобы поприветствовать мою маму и сказать тебе, что ты мне противен

¡Добро пожаловать @MomonKun_! https://t.co/5Kb3WVcuph",['momonkun'],Positive
одна девочка гомофобка узнала что я лесбиянка и она типа хотела меня избить ну типа она оффницей была вроде ну короче я каким-то образом с ней закорешилась и она потом пыталась засосать меня в лифте.. живу ли в в фанфике? возможно,[],Negative
"Это Киев, как же я ору https://t.co/QjLnZDr0S7",[],Positive
Давайте выберем 16-летнего Президента и воспитаем его под себя,[],Negative
за каждой сильной женщиной стоит мёртвый аниме мужик,[],Negative
"мы любим злодеев, потому что они делают то, что нам всегда запрещали: выбирают себя, а не общество",[],Positive
куда блять из магазинов делся простой советский фруктовый лёд???,[],Negative
Давайте поговорим об отношениях 68 летнего президента с 30 летней страной,[],Negative
"Я вас поняла, я посвящаю свою жизнь клоунизму и шреку (наконец-то нашла свою стихию в косплее 🤡) https://t.co/V5qDazUPJ2",[],Positive
"Я правильно поняла,богатые ставят прививку чтоб ходить по ресторанам,бедные чтоб ходить на работу?",[],Negative
мужчины выставляют девочек-подросток незрелыми и тупыми каждый раз когда хотят обосрать что-то через увлечение им подростками но как только речь заходит о педофилии то все подростки внезапно становятся сформировавшимися зрелыми и дееспособными и вообще взрослеют раньше мальчиков.,[],Positive
произошло то чего я боялась всю свою жизнь https://t.co/pIvRjEEfgV,[],Positive
ПИЗДЕЦ СЕЙЧАС БЫЛ ЦИРК ГДЕ ИНО ЧЕЛ ДОКАЗЫВАЛ МНЕ ЧТО Я НЕ АЗИАТКА У МЕНЯ ЖОПА ГОРИТ ОТ ЭТОГО В ОБЩЕМ ТРЕД ДИАЛОГА https://t.co/YCXIGw7BeS,[],Negative
я НЕ МОГУ жить в мире в котором ты будучи некрасивой девочкой всю школьную пору думаешь «ну ничё… ничё… зато я умная» а потом ты поступаешь в универ и выясняешь что ты ЕЩЁ И НЕ УМНАЯ,[],Negative
кто-то говорит что женщины более эмоциональные и истеричные чем мужчины лол…. вы видели политиков??? которые орут во время дискуссии и разбрасывают бумаги?? может быть геймеров??? которые ломают клавиатуры и бьют по столу во время проигрыша??? КАМОН,[],Negative
Можно я здесь прилягу? https://t.co/RNsEUiyWOK,[],Positive
"Я смотрю на актрису которая играет Наташу в детстве: наконец-то в Голливуде нашли кого-то кроме Милы Йовович кто умеет говорить по-русски
Актриса которая играет Наташу в детстве: дочь Милы Йовович",[],Positive
кто придумал ебаное нахождение по контактам в соцсетях самая отвратная функция,[],Positive
"Мама би лайк: «Будь осторожнее, у меня на работе умер мужчина после первой прививки, хорошо отметил выходные»
Я: «Дай угадаю, поехал бухать, как чертила, на жару 30 градусов, шашлычки машлычки, сердце не выдержало?»
Мама:....
И тут я понимаю, что угадала ВСЕ.",[],Negative
"Сфотографировала кота, как будто он поёт на утреннике, полюбуйтесь https://t.co/uJcTtVKvUW",[],Positive
"вот я и стала девушкой, которая живёт заграницей, работает программистом, много зарабатывает, водит машину, говорит на четырёх языках и носит рваные джинсы с кожанкой.

спасибо, нищее детство, я исполнила ВСЕ свои детские мечты.",[],Positive
"Смотрим фильм Круэлла
Мужик на 75й минуте фильма: мне героиня немного напоминает ту злую бабу что была в фильме 101 далматинец",[],Positive
"чилю у бассейна , подходит пацан лет 16 , предлагает мне мороженое и познакомиться , говорю ему что мне 30 , он извиняется и уходит 

через 10 минут принес мне пиво… 
блииин чуваааак",[],Negative
не знаю делал ли кто но блять ахаах #maneskin #Eurovision2021 https://t.co/yzrx6tNlUr,"['maneskin', 'eurovision']",Negative
ѕку💫 https://t.co/DZNa69B8wK,[],Positive
эхе те нандайо https://t.co/ILG8kd1RPe,[],Positive
моя дочь попросила набрать ей ванну с пеной + бомбочкой и включить трек снова я напиваюсь наверно был тяжёлый день в садике,[],Negative
ну.... https://t.co/HptF74V2QM,[],Positive
блять я не шучу дело которое я откладывала больше месяца заняло у меня 43 секунды) пиздец,[],Negative
"Ко мне сейчас пришла доставка еды и курьером был чувак, который буллил меня в школе

ЭТО БЫЛА САМАЯ НЕЛОВКАЯ ТИШИНА В ЖИЗНИ",[],Positive
"Я просто отправляю задания преподу*
Жена препода: https://t.co/pSgBUOIjQV",[],Negative
счастья не должно кончатсья https://t.co/ASBY3AxgO5,[],Positive
Бабушка vs. Современные технологии - 1:0 https://t.co/LKwN3GVT64,['vs'],Positive
Орейро https://t.co/A1fBd5a5t1,[],Positive
"Я на улице, я убежал из-за стола. Я не могу справиться. Я не могу. Я один плачу, потому что, черт возьми, это замок в России, и мне кажется, что я умираю. https://t.co/VQsmJQlK25",[],Positive
Сказать я в ахуе это ничего не сказать https://t.co/v3gCjT4uQ3,[],Negative
было бы большой честью поговорить с вами,[],Positive
"Давайте после Путина какое-то время поживем вообще без президента, отдохнём от отношений, поищем себя",[],Positive
Дом в котором я живу это просто нечто ахахах https://t.co/McMPqRPmPb,[],Positive
НАХУЯ ЗУБАМ НЕРВЫ БЛЯДЬ ОНИ ЧТО СУКА ПЕРЕЖИВАЮТ ЗА ЧТО-ТО,[],Negative
"- Что ты сделала, когда узнала, что Навальному можно написать письмо в СИЗО?
- Отправила ему свой любимый мем(
- МЕМ?! https://t.co/ef0R8uGrNU",[],Negative
"Решила на старости лет зарегистрироваться, чтобы иметь хоть какую-то возможность общаться со своими поклонниками... Да и в целом буду следить за новостями. А то в телевизоре одна Америка. Спасибо всем за добрые слова!",[],Positive
"Приговор Алексею @Navalny недопустим. Политические разногласия ни при каких обстоятельствах не являются преступлением. Мы призываем к его немедленному освобождению. Соблюдение прав Человека, так же, как и демократических свобод, не могут быть предметом обсуждения.",['navalny'],Positive
княгиню ольгу помните? ну та что город заживо сожгла чтобы отомстить за мужа? так вот её день памяти празднуется 24 июля. а знаете кто отмечает день рождения в этот день? юлия навальная,[],Positive
"Я *чуть ли не перестаю функционировать из-за волнения за исход суда*
Тем временем Лёша Навальный: https://t.co/Pxa6OZJFnu",[],Positive
"Хитрожопый одногруппник индус, как выяснилось, в личку всем слал просьбы помочь по матану, каждому отправил по одной задаче, но разные, мы все помогли, это ж быстро, всего один вопрос, так он всю контрольную работу из нас и вытянул. Вот это я называю распределенными вычислениями.",[],Positive
ну думаю тут человек 150 https://t.co/FsvnouQjXz,[],Positive
Абсолютно божественно! https://t.co/XJbO35fHcC,[],Positive
Собираюсь с подружкой на аквадискотеку https://t.co/CqGMNkJ7Pb,[],Positive
СУКА ОБОЖАЮ в хабаровске на митинге омон хотел взять в кольцо народ но вместо этого народ взял омон в кольцо и еще и водит вокруг них хоровод,[],Negative
Кота спасли. https://t.co/8pq7yXQ7L1,[],Positive
"момент песни                        сама 
в тиктоке                                песня https://t.co/EgYh3gecur",[],Positive
"Это не брат, это гений https://t.co/gxrMerWN3e",[],Positive
"это будет очень наивный твит, но:

мне так сложно уместить в голове вот просто этот факт: у тебя столько баблища, что ты ну в принципе можешь всю свою страну вытащить из нищеты, развить науку, технологии, медицину. стать реально героем, изменить мир. но ты выбираешь АКВАДИСКОТЕКУ",[],Negative
"-Сколько тебе лет?
- https://t.co/owGJZ5bD3X",[],Negative
ПОСМОТРИТЕ НАСКОЛЬКО ОНИ ШЕРСТЯНЫЕ И КАК МОЩНЫ ИХ ЛАПОНЬКИ https://t.co/VZDsKYr3Sn,[],Positive
"напоминаю, что действия фильма «я легенда» происходят в 2021 году, а зомби апокалипсис начался из-за неправильно подействовавшей вакцины 😇",[],Negative
"Ребёнок решил, что строка ""для заметок"" в школьном дневнике - для него, и устроил там филиал личного дневника https://t.co/Awt4DUpdKF",[],Positive
Я потратила на это 20 минут поэтому прошу лайков https://t.co/iU5QrJ5EPo,[],Positive
"Мальчик: шлёт дикпики
Мужчина: https://t.co/5i7d8C6THV",[],Positive
"кстати мой гендер это харухи 

#OuranHighSchoolHostClub #ohshc https://t.co/lEXXFLLraY","['ohshc', 'ouranhighschoolhostclub']",Positive
В ТВИТТЕРЕ МОЖНО ПОСТАВИТЬ ЛАЙК ДВАЖДЫ НАЖАВ ЧЕТЫРЕ РАЗА БЛЯТЬ,[],Negative
"Прикол, построить свой универ в майнкрафте и получить благодарность от ректора? 
ТАК ВОТ... https://t.co/FyJsSdgNcL",[],Positive
Официально худшая пара этого года: https://t.co/JKzCuzOX1D,[],Positive
#レッドブル нажмите лайк) https://t.co/zpLHDpoYLI,[],Positive
Как говорится кто в вашем отп https://t.co/3UY5Cd0og9,[],Positive
у меня истерика https://t.co/vGIkaPxYNs,[],Negative
"Фраза претендует стать мемом: Катюш, ну какие деньги? https://t.co/bCynYGPEVp",[],Negative
"РЕБЯТА Я ЩА СДОХНУ
УЧЕНИК МНЕ НА СЕРЬЕЗНЫХ ЩАХ СКАЗАЛ ЧТО САМКА КОМСОМОЛА ОТКУСЫВАЕТ БАШКУ САМЦУ ПОСЛЕ СПАРИВАНИЯ ААААААА",[],Negative
"мне гинеколог в карточке написала «половую жизнь отрицает», а я не то чтобы прям отрицаю я скорее агностик",[],Negative
